"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,209747,CME ,00,209 ,   90781,   12582,    1637,       0,    2750,    1828,      51,   29703,   35630,    6571,    2935,    4088,       0,   54592,   49805,   36189,   40976,   14961,    -146,      55,       0,     319,   -1051,       1,   20061,    5371,    1742,   -1530,     157,       0,   20447,    6275,   -5486,    8686,  100.0,   13.9,    1.8,    0.0,    3.0,    2.0,    0.1,   32.7,   39.2,    7.2,    3.2,    4.5,    0.0,   60.1,   54.9,   39.9,   45.1,     52,      6,.,      0,      4,.,.,     12,     13,     11,      8,      6,      0,     37,     27,    41.6,    37.7,    47.4,    45.1,    38.2,    35.2,    42.5,    41.3,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,209747,CME ,00,209 ,   75820,   12728,    1582,       0,    2431,    2879,      50,    9642,   30259,    4829,    4465,    3931,       0,   34145,   43530,   41675,   32290,    9360,    1363,     -69,       0,     -28,     287,      -2,    1111,    9719,    2475,     564,    1368,       0,    5483,   13778,    3877,   -4418,  100.0,   16.8,    2.1,    0.0,    3.2,    3.8,    0.1,   12.7,   39.9,    6.4,    5.9,    5.2,    0.0,   45.0,   57.4,   55.0,   42.6,     56,      4,.,      0,      4,.,.,     12,     16,      8,     10,      6,      0,     36,     29,    25.5,    34.6,    33.1,    44.0,    22.6,    33.8,    28.4,    40.8,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,209747,CME ,00,209 ,   66460,   11365,    1651,       0,    2459,    2592,      52,    8531,   20540,    2354,    3901,    2563,       0,   28662,   29752,   37798,   36708,   10251,    9190,      98,       0,      36,    2592,       0,    1442,    9605,     527,    1082,     365,       0,   12277,   13187,   -2026,   -2936,  100.0,   17.1,    2.5,    0.0,    3.7,    3.9,    0.1,   12.8,   30.9,    3.5,    5.9,    3.9,    0.0,   43.1,   44.8,   56.9,   55.2,     48,      5,.,      0,      4,.,.,      7,     16,      7,      8,      4,      0,     31,     25,    27.3,    21.7,    34.1,    30.1,    27.3,    20.3,    32.4,    28.2,"(NASDAQ 100 STOCK INDEX x $2)","209747","CME ","209 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239742,CME ,00,239 ,  502107,   87088,  138230,   31656,  168086,  132583,   38036,  110912,   92643,   32464,    2779,    9975,    1205,  472226,  476792,   29881,   25315,   28233,   -3154,  -10089,   23602,   -4641,    7886,    2061,    5985,    2840,    7717,   -3572,  -10434,    1114,   29112,   24697,    -879,    3536,  100.0,   17.3,   27.5,    6.3,   33.5,   26.4,    7.6,   22.1,   18.5,    6.5,    0.6,    2.0,    0.2,   94.0,   95.0,    6.0,    5.0,    335,     36,     21,     23,     90,     53,     41,     55,     60,     41,      7,     13,      4,    237,    207,    16.0,    28.1,    25.1,    36.9,    15.1,    27.5,    23.5,    34.8,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239742,CME ,00,239 ,  473874,   90242,  148319,    8054,  172727,  124697,   35975,  104927,   89803,   24747,    6351,   20409,      91,  443114,  452095,   30760,   21779,   28290,     458,    8116,    1340,   -6530,   17448,    4801,   21467,   -4965,    6082,    1762,   -2615,    -618,   28762,   29589,    -472,   -1299,  100.0,   19.0,   31.3,    1.7,   36.4,   26.3,    7.6,   22.1,   19.0,    5.2,    1.3,    4.3,    0.0,   93.5,   95.4,    6.5,    4.6,    343,     35,     23,     11,     92,     51,     40,     57,     60,     33,     12,     12,.,    237,    192,    16.1,    30.7,    25.6,    39.3,    15.3,    30.1,    24.4,    37.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,239742,CME ,00,239 ,  445584,   89784,  140203,    6714,  179257,  107249,   31174,   83460,   94768,   18665,    4589,   23024,     709,  414352,  422506,   31232,   23078,   23096,      95,    1365,    1623,   -4128,    9262,    -987,   28652,    8462,    -132,    -166,     812,       3,   24960,   20408,   -1864,    2688,  100.0,   20.1,   31.5,    1.5,   40.2,   24.1,    7.0,   18.7,   21.3,    4.2,    1.0,    5.2,    0.2,   93.0,   94.8,    7.0,    5.2,    336,     36,     20,     10,     95,     48,     39,     49,     63,     24,     12,     13,.,    234,    177,    13.4,    29.0,    22.8,    38.3,    12.8,    28.0,    21.9,    36.6,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,239742,CME ,00,239 ,  422488,   89689,  138838,    5091,  183385,   97987,   32161,   54808,   86306,   18797,    4755,   22212,     706,  389392,  402098,   33096,   20390,    5879,    5633,     795,    2635,  -18523,   -2733,     994,   17679,   -3952,     557,   -3139,    5837,     634,    6470,    4767,    -591,    1112,  100.0,   21.2,   32.9,    1.2,   43.4,   23.2,    7.6,   13.0,   20.4,    4.4,    1.1,    5.3,    0.2,   92.2,   95.2,    7.8,    4.8,    337,     36,     23,     11,    104,     41,     40,     45,     63,     26,     10,     15,.,    231,    185,    13.9,    28.9,    23.2,    37.7,    12.7,    28.0,    21.6,    36.5,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,239742,CME ,00,239 ,  416609,   84056,  138043,    2456,  201908,  100720,   31167,   37129,   90258,   18240,    7894,   16375,      72,  382922,  397331,   33687,   19278,    1652,   -2131,    3758,     202,     511,   -1177,    1359,    -941,    -276,    1101,     878,   -1790,    -179,     800,    2998,     852,   -1346,  100.0,   20.2,   33.1,    0.6,   48.5,   24.2,    7.5,    8.9,   21.7,    4.4,    1.9,    3.9,    0.0,   91.9,   95.4,    8.1,    4.6,    333,     30,     24,      8,    104,     38,     40,     45,     67,     24,     15,     10,.,    227,    181,    14.1,    29.2,    23.9,    39.3,    14.0,    28.7,    23.1,    38.0,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,239742,CME ,00,239 ,  414957,   86187,  134285,    2254,  201397,  101897,   29808,   38070,   90534,   17139,    7016,   18165,     251,  382122,  394333,   32835,   20624,   -5361,    1937,  -10495,    -114,    2599,    3632,    -960,   -7071,   -1856,    3671,   -1210,    1873,     125,   -1023,   -4124,   -4338,   -1237,  100.0,   20.8,   32.4,    0.5,   48.5,   24.6,    7.2,    9.2,   21.8,    4.1,    1.7,    4.4,    0.1,   92.1,   95.0,    7.9,    5.0,    322,     31,     22,      7,    104,     36,     39,     45,     58,     24,     14,     12,      5,    227,    170,    14.1,    28.8,    23.6,    39.1,    13.9,    28.8,    23.2,    38.3,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,239742,CME ,00,239 ,  420318,   84250,  144780,    2368,  198798,   98265,   30768,   45141,   92390,   13468,    8226,   16292,     126,  383145,  398457,   37173,   21861,   -5390,    3299,   -3954,    -311,  -14068,    5222,    2815,    4795,   -9861,   -1011,   -3840,   -1557,      46,   -8275,   -8611,    2885,    3221,  100.0,   20.0,   34.4,    0.6,   47.3,   23.4,    7.3,   10.7,   22.0,    3.2,    2.0,    3.9,    0.0,   91.2,   94.8,    8.8,    5.2,    325,     30,     24,      7,    104,     37,     41,     45,     61,     25,     13,     11,      4,    227,    175,    14.0,    30.3,    23.4,    39.8,    13.9,    29.7,    23.1,    38.8,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,239742,CME ,00,239 ,  425708,   80951,  148734,    2679,  212866,   93043,   27953,   40346,  102251,   14479,   12066,   17849,      80,  391420,  407068,   34288,   18640,  -10338,    1790,  -14925,    -207,    1318,    4814,   -1093,   -5071,    2390,    -326,   -3498,    -572,    -276,   -7363,  -10195,   -2975,    -143,  100.0,   19.0,   34.9,    0.6,   50.0,   21.9,    6.6,    9.5,   24.0,    3.4,    2.8,    4.2,    0.0,   91.9,   95.6,    8.1,    4.4,    327,     31,     20,      7,    108,     36,     36,     51,     59,     24,     11,     11,.,    233,    163,    13.4,    30.9,    22.3,    39.9,    13.3,    30.0,    21.8,    38.6,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239742,CME ,00,239 ,  436046,   79161,  163659,    2886,  211548,   88229,   29046,   45417,   99861,   14805,   15564,   18421,     356,  398783,  417263,   37263,   18783,  -17862,    -521,   -8963,    -656,    3471,    2644,    -278,  -13706,   -5518,   -4204,   -4281,   -1272,     216,  -19959,  -18031,    2097,     169,  100.0,   18.2,   37.5,    0.7,   48.5,   20.2,    6.7,   10.4,   22.9,    3.4,    3.6,    4.2,    0.1,   91.5,   95.7,    8.5,    4.3,    335,     30,     20,      7,    106,     40,     37,     52,     62,     22,     12,     13,      4,    233,    172,    12.9,    32.8,    21.8,    41.2,    12.7,    31.8,    21.5,    39.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239742,CME ,00,239 ,  453908,   79682,  172622,    3542,  208077,   85585,   29324,   59123,  105379,   19009,   19845,   19693,     140,  418742,  435294,   35166,   18614,   -8307,    7283,  -17353,     152,  -16513,   -1558,    1589,    -326,    6626,     712,    -381,    -564,      25,   -7459,  -10371,    -848,    2064,  100.0,   17.6,   38.0,    0.8,   45.8,   18.9,    6.5,   13.0,   23.2,    4.2,    4.4,    4.3,    0.0,   92.3,   95.9,    7.7,    4.1,    333,     32,     20,      7,    103,     42,     38,     46,     67,     24,     11,     12,      5,    226,    181,    13.7,    32.0,    23.1,    40.8,    13.3,    31.9,    21.9,    39.7,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,239742,CME ,00,239 ,  462215,   72399,  189975,    3390,  224590,   87143,   27735,   59449,   98753,   18297,   20226,   20257,     115,  426201,  445665,   36014,   16550,   -8162,    4905,  -20655,    -399,  -20303,   -2509,    3545,   12489,   11304,    -924,   -5751,    1571,      54,   -6384,   -8013,   -1778,    -149,  100.0,   15.7,   41.1,    0.7,   48.6,   18.9,    6.0,   12.9,   21.4,    4.0,    4.4,    4.4,    0.0,   92.2,   96.4,    7.8,    3.6,    337,     33,     19,      6,    107,     40,     37,     49,     67,     24,      9,     13,      4,    234,    174,    13.2,    34.4,    22.8,    43.3,    13.1,    34.1,    22.0,    42.3,"(RUSSEL 2000 INDEX X $50)","239742","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239744,CME ,00,239 ,   42124,   20067,   14607,    7749,   11596,   18812,     210,       0,       0,       0,       0,       0,       0,   39622,   41378,    2502,     746,    9953,     928,    1228,    7749,     486,     658,     -86,       0,       0,       0,       0,       0,       0,    9077,    9549,     876,     404,  100.0,   47.6,   34.7,   18.4,   27.5,   44.7,    0.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.1,   98.2,    5.9,    1.8,     26,.,      7,      4,     12,.,.,      0,      0,      0,      0,      0,      0,     17,     14,    66.3,    70.0,    81.7,    91.9,    54.9,    66.3,    67.4,    77.8,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239744,CME ,00,239 ,   32171,   19139,   13379,       0,   11110,   18154,     296,       0,       0,       0,       0,       0,       0,   30545,   31829,    1626,     342,    1382,    1416,     530,       0,     185,    1167,      86,       0,       0,       0,       0,       0,       0,    1687,    1783,    -305,    -401,  100.0,   59.5,   41.6,    0.0,   34.5,   56.4,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.9,   98.9,    5.1,    1.1,     26,      4,      7,      0,     12,.,.,      0,      0,      0,      0,      0,      0,     17,     11,    69.0,    83.2,    83.5,    96.6,    69.0,    83.2,    83.5,    96.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,239744,CME ,00,239 ,   30789,   17723,   12849,       0,   10925,   16987,     210,       0,       0,       0,       0,       0,       0,   28858,   30046,    1931,     743,    1375,    -261,    1297,       0,    1302,       0,       0,       0,       0,       0,       0,       0,       0,    1041,    1297,     334,      78,  100.0,   57.6,   41.7,    0.0,   35.5,   55.2,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.7,   97.6,    6.3,    2.4,     24,      4,      6,      0,     12,.,.,      0,      0,      0,      0,      0,      0,     16,      9,    69.2,    82.9,    82.1,    96.9,    69.2,    82.9,    82.1,    96.9,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,239744,CME ,00,239 ,   29414,   17984,   11552,       0,    9623,   16987,     210,       0,       0,       0,       0,       0,       0,   27817,   28749,    1597,     665,     343,     -62,     333,       0,     579,       0,       0,    -224,       0,       0,       0,       0,       0,     293,     333,      50,      10,  100.0,   61.1,   39.3,    0.0,   32.7,   57.8,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.6,   97.7,    5.4,    2.3,     22,      5,      4,      0,     11,.,.,      0,      0,      0,      0,      0,      0,     16,      7,    71.4,    86.3,    84.2,    97.7,    71.4,    86.3,    84.2,    97.0,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,239744,CME ,00,239 ,   29071,   18046,   11219,       0,    9044,   16987,     210,     224,       0,       0,       0,       0,       0,   27524,   28416,    1547,     655,    -284,    -197,    -289,       0,     213,       0,       0,    -257,       0,     -21,       0,       0,       0,    -262,    -310,     -22,      26,  100.0,   62.1,   38.6,    0.0,   31.1,   58.4,    0.7,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,   94.7,   97.7,    5.3,    2.3,     23,      5,      4,      0,     11,.,.,.,      0,      0,      0,      0,      0,     17,      7,    71.3,    86.5,    84.1,    97.7,    71.3,    86.5,    84.1,    97.0,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,239744,CME ,00,239 ,   29355,   18243,   11508,       0,    8831,   16987,     210,     481,       0,      21,       0,       0,       0,   27786,   28726,    1569,     629,    -932,   -1287,     119,       0,     740,   -1026,       0,      25,       0,       0,       0,       0,       0,    -522,    -907,    -410,     -25,  100.0,   62.1,   39.2,    0.0,   30.1,   57.9,    0.7,    1.6,    0.0,    0.1,    0.0,    0.0,    0.0,   94.7,   97.9,    5.3,    2.1,     24,      5,      5,      0,     11,.,.,.,      0,.,      0,      0,      0,     17,      9,    68.6,    84.4,    82.1,    97.8,    68.6,    84.4,    82.1,    97.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,239744,CME ,00,239 ,   30287,   19530,   11389,       0,    8091,   18013,     210,     456,       0,      21,       0,       0,       0,   28308,   29633,    1979,     654,     918,    1392,     405,       0,    -738,     296,     -86,      37,       0,       0,       0,       0,       0,     605,     615,     313,     303,  100.0,   64.5,   37.6,    0.0,   26.7,   59.5,    0.7,    1.5,    0.0,    0.1,    0.0,    0.0,    0.0,   93.5,   97.8,    6.5,    2.2,     24,      5,      5,      0,     10,.,.,.,      0,.,      0,      0,      0,     16,     10,    69.4,    84.0,    82.3,    97.1,    69.4,    84.0,    82.3,    97.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,239744,CME ,00,239 ,   29369,   18138,   10984,       0,    8829,   17717,     296,     419,       0,      21,       0,       0,       0,   27703,   29018,    1666,     351,     -38,     -54,      96,       0,    -151,     -83,       0,      53,       0,       0,       0,       0,       0,    -152,      13,     114,     -51,  100.0,   61.8,   37.4,    0.0,   30.1,   60.3,    1.0,    1.4,    0.0,    0.1,    0.0,    0.0,    0.0,   94.3,   98.8,    5.7,    1.2,     27,      5,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     18,     12,    69.5,    83.8,    81.4,    96.2,    69.5,    83.8,    81.4,    96.1,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,239744,CME ,00,239 ,   29407,   18192,   10888,       0,    8980,   17800,     296,     366,       0,      21,       0,       0,       0,   27855,   29005,    1552,     402,     485,    1544,     581,       0,   -1044,     -11,       0,       0,       0,       0,       0,       0,       0,     500,     570,     -15,     -85,  100.0,   61.9,   37.0,    0.0,   30.5,   60.5,    1.0,    1.2,    0.0,    0.1,    0.0,    0.0,    0.0,   94.7,   98.6,    5.3,    1.4,     27,      5,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     18,     12,    68.7,    83.7,    82.3,    95.9,    68.7,    83.7,    82.3,    95.9,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,239744,CME ,00,239 ,   28922,   16648,   10307,       0,   10024,   17811,     296,     366,       0,      21,       0,       0,       0,   27355,   28435,    1567,     487,    -127,    -156,     -71,       0,     -60,       5,       0,     -47,       0,      14,       0,       0,       0,    -249,     -52,     122,     -75,  100.0,   57.6,   35.6,    0.0,   34.7,   61.6,    1.0,    1.3,    0.0,    0.1,    0.0,    0.0,    0.0,   94.6,   98.3,    5.4,    1.7,     26,      4,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     17,     12,    70.5,    84.8,    83.3,    95.6,    70.5,    84.8,    83.3,    95.6,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,239744,CME ,00,239 ,   29049,   16804,   10378,       0,   10084,   17806,     296,     413,       0,       7,       0,       0,       0,   27604,   28487,    1445,     562,     173,    -306,     436,       0,     439,      12,       0,       0,       0,       0,       0,       0,       0,     133,     448,      40,    -275,  100.0,   57.8,   35.7,    0.0,   34.7,   61.3,    1.0,    1.4,    0.0,    0.0,    0.0,    0.0,    0.0,   95.0,   98.1,    5.0,    1.9,     26,      4,      5,      0,     11,      5,.,.,      0,.,      0,      0,      0,     17,     12,    68.0,    84.4,    81.2,    95.3,    68.0,    84.4,    81.2,    95.3,"(RUSSELL 1000 VALUE INDEX x $50)","239744","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 GROWTH - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239745,CME ,00,239 ,   11437,    2946,    7910,    1594,    5711,     721,       0,       0,     202,       1,       0,       0,       0,   10252,   10428,    1185,    1009,    2162,    1396,     200,    1594,   -1185,     298,       0,       0,       0,       1,       0,       0,       0,    1806,    2093,     356,      69,  100.0,   25.8,   69.2,   13.9,   49.9,    6.3,    0.0,    0.0,    1.8,    0.0,    0.0,    0.0,    0.0,   89.6,   91.2,   10.4,    8.8,     20,      5,      6,.,      7,.,      0,      0,.,.,      0,      0,      0,     14,      9,    57.0,    70.2,    75.4,    91.2,    48.2,    56.3,    65.2,    77.2,"(Russell 1000 Growth Index x $50)","239745","CME ","239 ","F20","FutOnly"
"EMINI RUSSELL 1000 GROWTH - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239745,CME ,00,239 ,    9275,    1550,    7710,       0,    6896,     423,       0,       0,     202,       0,       0,       0,       0,    8446,    8335,     829,     940,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   16.7,   83.1,    0.0,   74.4,    4.6,    0.0,    0.0,    2.2,    0.0,    0.0,    0.0,    0.0,   91.1,   89.9,    8.9,   10.1,     20,      4,      6,      0,      8,.,      0,      0,.,      0,      0,      0,      0,     12,      8,    64.6,    67.2,    81.7,    89.9,    64.6,    67.2,    81.7,    89.9,"(Russell 1000 Growth Index x $50)","239745","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,239747,CME ,00,239 ,   50044,    7323,       0,      56,    1828,       0,       2,    5720,   41070,    1847,     772,    2284,      15,   17563,   45274,   32481,    4770,    4308,     357,       0,      56,    -332,   -1107,     -13,    2434,    2843,    1227,     232,     992,      14,    3975,    4012,     333,     296,  100.0,   14.6,    0.0,    0.1,    3.7,    0.0,    0.0,   11.4,   82.1,    3.7,    1.5,    4.6,    0.0,   35.1,   90.5,   64.9,    9.5,     29,.,      0,.,      5,      0,.,      6,     10,      7,.,.,.,     21,     18,    23.7,    68.2,    29.3,    82.3,    23.3,    68.0,    27.4,    82.0,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,239747,CME ,00,239 ,   45736,    6966,       0,       0,    2160,    1107,      15,    3286,   38227,     620,     540,    1292,       1,   13588,   41262,   32148,    4474,    1919,     -59,       0,       0,      11,     699,      -9,     614,    1003,     321,    -227,     772,       0,     651,    2786,    1268,    -867,  100.0,   15.2,    0.0,    0.0,    4.7,    2.4,    0.0,    7.2,   83.6,    1.4,    1.2,    2.8,    0.0,   29.7,   90.2,   70.3,    9.8,     29,.,      0,      0,      5,.,.,      6,     10,      7,.,.,.,     21,     18,    20.7,    67.5,    25.0,    81.5,    20.5,    67.5,    24.8,    81.4,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,239747,CME ,00,239 ,   43817,    7025,       0,       0,    2149,     408,      24,    2672,   37224,     299,     767,     520,       1,   12937,   38476,   30880,    5341,    1205,    1750,       0,       0,     128,     187,       0,    1449,    2276,      93,     467,   -1731,       1,    3888,     826,   -2683,     379,  100.0,   16.0,    0.0,    0.0,    4.9,    0.9,    0.1,    6.1,   85.0,    0.7,    1.8,    1.2,    0.0,   29.5,   87.8,   70.5,   12.2,     26,.,      0,      0,      5,.,.,      4,      9,      4,.,.,.,     20,     12,    20.2,    71.2,    24.7,    83.9,    20.2,    71.2,    24.7,    83.5,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
"MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,239747,CME ,00,239 ,   42612,    5275,       0,       0,    2021,     221,      24,    1223,   34948,     206,     300,    2251,       0,    9049,   37650,   33563,    4962,    3068,    -112,       0,       0,      99,      -4,       1,     183,    3526,    -245,    -687,    -312,       0,    -761,    2966,    3829,     102,  100.0,   12.4,    0.0,    0.0,    4.7,    0.5,    0.1,    2.9,   82.0,    0.5,    0.7,    5.3,    0.0,   21.2,   88.4,   78.8,   11.6,     27,.,      0,      0,      6,.,.,.,     11,      5,.,.,      0,     17,     16,    15.2,    63.9,    18.4,    79.7,    15.2,    63.8,    18.4,    79.7,"(RUSSEL 2000 INDEX X $0.5)","239747","CME ","239 ","F20","FutOnly"
